# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.140 accel_g_per_lsb=0.000488
4694256486,0,1,-3,-3,-1,24,-2040
4694257486,0,1,-2,-2,3,29,-2044
4694258486,0,3,-2,-4,-6,28,-2042
4694259486,0,2,-3,-3,13,24,-2042
4694260486,0,-1,0,3,11,28,-2050
4694261486,0,5,-3,-6,10,28,-2051
4694262486,0,2,0,-4,2,24,-2052
4694263486,0,4,-4,-9,10,27,-2047
4694264486,0,4,-1,-6,0,19,-2037
4694265486,0,3,-2,-8,0,23,-2039
4694266486,0,0,-1,-3,4,25,-2047
4694267486,0,3,-1,-2,8,28,-2045
4694268486,0,0,-4,-1,4,15,-2044
4694269486,0,4,-2,-6,5,30,-2037
