# auto-battlebot velocity jig
# columns: t_us,count,gx,gy,gz,ax,ay,az  (raw int16 imu)
# encoder: quadrature x4 (constant column if unplugged)
# sample_rate_hz=1000 gyro_dps_per_lsb=0.070 accel_g_per_lsb=0.000244
5117282103,0,6,-2,-8,38,50,-4088
5117283103,0,1,-2,-6,54,59,-4090
5117284103,0,5,-1,-7,57,60,-4086
5117285103,0,1,-5,-6,62,47,-4095
5117286103,0,2,0,-4,43,40,-4064
5117287103,0,0,-9,-6,48,52,-4084
5117288103,0,5,-2,-2,48,42,-4102
5117289103,0,3,-5,-6,37,40,-4105
5117290103,0,5,-8,-8,33,54,-4101
5117291103,0,8,-8,-4,42,42,-4090
5117292103,0,6,-9,-9,29,38,-4093
5117293103,0,5,-1,-7,44,46,-4075
5117294103,0,1,-8,-10,31,45,-4076
5117295103,0,7,-10,-8,40,46,-4094
5117296103,0,6,-8,-7,34,34,-4093
5117297103,0,3,-2,-7,39,39,-4101
5117298103,0,11,-10,-10,48,38,-4078
5117299103,0,6,2,-12,46,58,-4090
5117300103,0,5,-5,-6,48,40,-4106
5117301103,0,1,-4,-9,56,46,-4078
5117302103,0,5,2,-9,60,47,-4082
5117303103,0,6,-6,-2,58,35,-4098
5117304103,0,5,-9,-10,48,45,-4084
5117305103,0,6,-1,-3,50,42,-4086
5117306103,0,6,-7,-10,37,48,-4091
5117307103,0,9,-6,-12,52,55,-4088
5117308103,0,9,-5,-10,44,46,-4085
5117309103,0,9,-7,-7,48,43,-4102
5117310103,0,9,-3,-3,53,35,-4088
5117311103,0,4,-2,-2,45,23,-4075
5117312103,0,6,-3,-7,43,43,-4082
5117313103,0,4,0,-6,45,49,-4082
5117314103,0,11,-8,-8,45,39,-4099
5117315103,0,7,0,-7,56,46,-4072
5117316103,0,3,-7,-8,33,40,-4090
5117317103,0,9,-1,-2,47,45,-4092
5117318103,0,1,-2,-8,48,33,-4086
5117319103,0,4,-12,-5,42,46,-4082
5117320103,0,2,1,-7,43,47,-4090
5117321103,0,3,-9,-6,44,54,-4102
5117322103,0,8,-8,-7,37,32,-4083
5117323103,0,7,-8,-11,42,50,-4078
5117324103,0,7,-10,-8,49,38,-4095
5117325103,0,2,2,-6,51,40,-4103
5117326103,0,4,-4,-7,44,44,-4077
5117327103,0,6,-1,-11,53,49,-4086
5117328103,0,5,0,-9,26,43,-4085
5117329103,0,7,-1,-8,40,53,-4080
5117330103,0,3,-7,-10,47,39,-4096
5117331103,0,6,-4,-2,45,38,-4088
5117332103,0,1,-6,-4,49,30,-4083
5117333103,0,6,-4,-10,49,50,-4099
5117334103,0,1,2,-6,44,55,-4087
5117335103,0,4,-3,-3,69,43,-4096
5117336103,0,-1,-9,-6,56,42,-4080
5117337103,0,7,-3,-10,47,63,-4094
5117338103,0,5,-3,-1,42,55,-4091
5117339103,0,7,-3,-11,41,40,-4106
5117340103,0,11,-5,-8,47,38,-4086
5117341103,0,6,-5,-9,42,42,-4105
5117342103,0,4,-5,-7,50,37,-4089
5117343103,0,-4,-7,-5,57,45,-4089
5117344103,0,7,-6,-8,28,40,-4104
5117345103,0,7,-6,-3,25,45,-4090
5117346103,0,7,-11,-9,48,34,-4097
5117347103,0,0,-2,-8,47,58,-4085
5117348103,0,2,-4,-3,44,44,-4115
5117349103,0,9,-6,-8,53,42,-4088
5117350103,0,7,-3,-4,37,41,-4077
5117351103,0,3,-1,-6,40,51,-4084
5117352103,0,5,-2,-14,51,43,-4094
5117353103,0,4,-5,-8,56,36,-4089
5117354103,0,2,-5,-10,41,46,-4096
5117355103,0,5,-2,-6,56,53,-4085
5117356103,0,5,-5,-9,38,57,-4095
5117357103,0,5,-4,-1,47,70,-4100
5117358103,0,4,1,-6,25,46,-4068
5117359103,0,2,-2,-5,41,29,-4077
5117360103,0,2,-6,-6,59,55,-4084
5117361103,0,2,-4,-7,42,42,-4080
5117362103,0,4,-7,-6,37,29,-4100
